Date,Camden Kerbside,Haringey Roadside,London Bexley,London Bloomsbury,London Eltham,London Haringey Priory Park South,London Harlington,London Hillingdon,London Marylebone Road,London N. Kensington,London Westminster,Southwark A2 Old Kent Road,Tower Hamlets Roadside
01/01/2019,33,19,14,37,12,11,17,No data,41,21,33,31,47
02/01/2019,67,33,22,43,20,18,33,No data,43,32,38,62,64
03/01/2019,73,45,38,44,28,27,36,31,51,34,39,75,76
04/01/2019,60,43,49,50,42,34,50,45,55,42,50,72,72
05/01/2019,56,34,28,52,23,29,38,36,51,42,51,54,63
06/01/2019,50,35,43,55,35,30,39,38,59,40,51,50,64
07/01/2019,34,31,26,47,23,21,25,51,76,35,40,29,54
08/01/2019,58,25,24,45,22,21,31,24,38,31,44,54,59
09/01/2019,69,33,28,48,21,24,31,29,41,36,42,62,60
10/01/2019,63,48,58,61,48,43,53,53,65,56,59,62,71
11/01/2019,67,40,46,54,38,34,46,44,57,48,57,64,73
12/01/2019,31,24,20,42,19,17,17,31,64,25,38,25,57
13/01/2019,16,13,10,29,11,8,13,16,42,13,24,19,42
14/01/2019,45,29,33,47,27,24,34,28,48,32,43,52,61
15/01/2019,51,45,25,36,24,32,41,68,86,40,35,31,48
16/01/2019,44,36,22,31,17,23,35,59,79,28,31,26,39
17/01/2019,63,34,32,51,26,27,43,42,54,39,48,63,72
18/01/2019,79,62,52,53,34,44,51,85,84,51,52,46,57
19/01/2019,56,44,26,38,21,31,22,63,62,36,37,48,37
20/01/2019,65,46,46,51,35,39,52,51,56,49,50,73,71
21/01/2019,67,56,52,48,42,44,59,79,83,55,60,54,73
22/01/2019,58,46,39,48,36,40,48,74,79,45,47,46,69
23/01/2019,80,41,33,53,29,36,53,49,56,46,49,80,70
24/01/2019,82,62,67,69,54,61,67,83,94,68,73,77,74
25/01/2019,51,46,45,55,40,37,42,53,84,49,60,54,58
26/01/2019,36,28,9,24,11,15,28,45,75,20,23,14,40
27/01/2019,20,10,8,26,10,7,9,9,33,12,19,25,33
28/01/2019,59,34,35,No data,31,31,41,41,52,37,47,66,59
29/01/2019,72,59,40,No data,28,47,61,89,91,50,52,48,51
30/01/2019,63,47,No data,59,48,41,53,56,76,59,58,60,67
31/01/2019,97,56,No data,63,41,50,58,79,90,60,66,67,64
01/02/2019,50,32,23,42,22,22,29,30,41,30,45,56,59
02/02/2019,55,21,17,38,15,14,25,21,32,23,32,52,50
03/02/2019,48,42,25,37,24,31,42,65,72,42,36,38,45
04/02/2019,50,43,23,33,18,31,42,66,74,33,38,31,34
05/02/2019,54,55,26,35,17,39,46,68,74,33,39,32,35
06/02/2019,58,47,27,34,18,33,No data,76,85,35,40,31,35
07/02/2019,30,26,11,22,10,16,No data,50,81,20,22,15,31
08/02/2019,28,24,9,18,4,12,No data,45,89,14,17,10,19
09/02/2019,21,21,7,15,5,9,22,42,80,13,13,9,18
10/02/2019,30,24,17,35,12,14,24,37,68,21,24,24,29
11/02/2019,72,48,44,42,28,33,48,55,64,43,46,64,55
12/02/2019,55,57,35,38,24,36,53,85,94,45,43,No data,44
13/02/2019,49,59,31,33,18,31,48,79,85,34,37,No data,32
14/02/2019,91,76,54,53,35,57,65,89,92,62,62,81,66
15/02/2019,77,80,55,57,30,56,69,95,97,58,65,69,64
16/02/2019,51,59,37,41,20,34,58,80,84,43,44,38,35
17/02/2019,43,45,26,31,14,28,48,75,74,27,34,39,32
18/02/2019,44,50,28,33,18,27,49,83,83,30,35,32,32
19/02/2019,46,44,21,29,15,26,41,80,88,30,27,29,37
20/02/2019,38,37,20,24,11,17,37,No data,79,24,No data,24,25
21/02/2019,44,48,27,29,19,27,41,No data,89,30,No data,31,33
22/02/2019,75,60,44,57,35,49,48,No data,93,51,51,63,47
23/02/2019,68,58,43,46,34,44,54,No data,80,50,48,56,45
24/02/2019,72,60,55,64,50,48,67,No data,79,68,71,79,60
25/02/2019,96,78,70,81,69,65,86,No data,102,86,99,105,81
26/02/2019,103,85,85,90,76,73,93,No data,110,92,111,114,92
27/02/2019,93,85,71,75,56,69,91,No data,119,83,98,87,86
28/02/2019,47,46,38,50,29,31,43,No data,98,40,47,42,52
01/03/2019,49,42,42,45,27,27,44,No data,73,35,44,49,55
02/03/2019,29,29,17,20,9,16,26,No data,72,18,23,16,28
03/03/2019,19,18,9,10,6,9,26,No data,60,11,12,10,18
04/03/2019,26,24,17,25,13,15,18,49,84,No data,25,19,35
05/03/2019,38,39,19,21,11,20,33,60,No data,No data,21,20,25
06/03/2019,31,33,13,19,8,17,29,47,No data,15,19,16,17
07/03/2019,21,21,10,25,10,11,12,30,87,14,20,16,29
08/03/2019,44,40,20,31,15,21,30,54,91,27,27,25,36
09/03/2019,25,26,11,24,No data,12,20,39,73,16,20,17,30
10/03/2019,25,21,10,27,No data,11,13,30,57,17,17,22,32
11/03/2019,27,23,16,36,No data,12,20,No data,60,17,24,26,32
12/03/2019,26,25,12,24,No data,15,20,No data,71,16,21,19,28
13/03/2019,18,14,11,32,10,9,10,No data,60,14,24,22,31
14/03/2019,25,20,12,32,11,12,17,No data,65,17,25,24,34
15/03/2019,18,18,8,23,8,9,12,No data,72,12,21,15,28
16/03/2019,16,15,4,9,4,6,17,No data,60,8,10,9,17
17/03/2019,19,18,12,36,9,9,12,No data,62,14,18,21,32
18/03/2019,50,35,38,54,29,28,36,No data,75,37,41,46,56
19/03/2019,52,54,30,35,21,36,40,No data,85,33,35,34,41
20/03/2019,40,42,21,32,16,23,26,No data,No data,24,28,24,39
21/03/2019,44,38,27,35,22,23,27,No data,No data,28,39,33,42
